  Executing ROBU plan AS IS (static, no recourse)...
  stop  83  t=71.705h soc=310kWh  cd=0.42 sd=4.59 h=7.30  -> y=0 brk=--- rst=---
  stop  84  t=71.918h soc=289kWh  cd=0.63 sd=4.80 h=7.51  -> y=0 brk=--- rst=---
  stop  85  t=72.176h soc=265kWh  cd=0.89 sd=5.06 h=7.77  -> y=0 brk=--- rst=---
  stop  86  t=72.449h soc=241kWh  cd=1.16 sd=5.33 h=8.04  -> y=0 brk=--- rst=---
  stop  87  t=72.875h soc=218kWh  cd=1.59 sd=5.76 h=8.47  -> y=0 brk=--- rst=---
  stop  88  t=73.221h soc=193kWh  cd=1.94 sd=6.11 h=8.82  -> y=0 brk=--- rst=---
  stop  89  t=73.541h soc=167kWh  cd=2.26 sd=6.43 h=9.14  -> y=0 brk=--- rst=r1
  stop  90  t=85.083h soc=163kWh  cd=0.04 sd=0.04 h=0.04  -> y=0 brk=--- rst=---
  stop  91  t=85.453h soc=143kWh  cd=0.41 sd=0.41 h=0.41  -> y=0 brk=--- rst=---
  stop  92  t=85.693h soc=121kWh  cd=0.65 sd=0.65 h=0.65  -> y=0 brk=--- rst=---
  stop  93  t=85.919h soc=100kWh  cd=0.88 sd=0.88 h=0.88  -> y=1 brk=--- rst=---
  stop  94  t=87.485h soc=360kWh  cd=1.13 sd=1.13 h=2.44  -> y=0 brk=--- rst=r2
  stop  95  t=96.941h soc=339kWh  cd=0.29 sd=0.29 h=0.29  -> y=0 brk=--- rst=---
  stop  96  t=97.248h soc=319kWh  cd=0.60 sd=0.60 h=0.60  -> y=0 brk=--- rst=---
  stop  97  t=97.485h soc=297kWh  cd=0.83 sd=0.83 h=0.83  -> y=0 brk=--- rst=---
  stop  98  t=97.778h soc=270kWh  cd=1.13 sd=1.13 h=1.13  -> y=0 brk=--- rst=---
  stop  99  t=98.055h soc=243kWh  cd=1.40 sd=1.40 h=1.40  -> y=0 brk=--- rst=---
  stop 100  t=98.348h soc=218kWh  cd=1.70 sd=1.70 h=1.70  -> y=0 brk=--- rst=---
  stop 101  t=98.625h soc=193kWh  cd=1.97 sd=1.97 h=1.97  -> y=0 brk=--- rst=---
  stop 102  t=98.899h soc=171kWh  cd=2.25 sd=2.25 h=2.25  -> y=0 brk=--- rst=---
  stop 103  t=99.183h soc=148kWh  cd=2.53 sd=2.53 h=2.53  -> y=0 brk=--- rst=---
  stop 104  t=99.425h soc=124kWh  cd=2.77 sd=2.77 h=2.77  -> y=0 brk=--- rst=---
  stop 105  t=99.673h soc=100kWh  cd=3.02 sd=3.02 h=3.02  -> y=1 brk=b45 rst=---
  stop 106  t=100.993h soc=296kWh  cd=0.28 sd=3.30 h=4.34  -> y=0 brk=--- rst=---
  stop 107  t=101.215h soc=274kWh  cd=0.50 sd=3.52 h=4.56  -> y=0 brk=--- rst=---
  stop 108  t=101.477h soc=253kWh  cd=0.76 sd=3.78 h=4.82  -> y=0 brk=--- rst=---
  stop 109  t=101.948h soc=213kWh  cd=1.23 sd=4.26 h=5.30  -> y=0 brk=b45 rst=---
