  Executing ROBU plan AS IS (static, no recourse)...
  stop 106  t=111.643h soc=267kWh  cd=0.31 sd=0.31 h=0.31  -> y=0 brk=--- rst=---
  stop 107  t=111.918h soc=240kWh  cd=0.58 sd=0.58 h=0.58  -> y=0 brk=--- rst=---
  stop 108  t=112.218h soc=215kWh  cd=0.88 sd=0.88 h=0.88  -> y=0 brk=--- rst=---
  stop 109  t=112.436h soc=194kWh  cd=1.10 sd=1.10 h=1.10  -> y=0 brk=--- rst=---
  stop 110  t=112.648h soc=173kWh  cd=1.31 sd=1.31 h=1.31  -> y=0 brk=--- rst=---
  stop 111  t=112.873h soc=153kWh  cd=1.54 sd=1.54 h=1.54  -> y=0 brk=--- rst=---
  stop 112  t=113.071h soc=133kWh  cd=1.73 sd=1.73 h=1.73  -> y=0 brk=--- rst=---
  stop 113  t=113.329h soc=114kWh  cd=1.99 sd=1.99 h=1.99  -> y=0 brk=--- rst=---
  Robust-plan failures (raw): 8 violation(s); 0 supervisor intervention(s)

=================================================================
  ROBU SIMULATION COMPLETE
  Arrival (absolute) : 113.529 h  (113:31)
  Travel duration    : 105.529 h
  Solve time         : 48978.3 s
  Wall-clock         : 48978.3 s
=================================================================
  Oracle   : loaded from cache  solutions/oracle_RmediumCfewTlarge_10.json
  Scenarios: logs/RmediumCfewTlarge_10_ROBU_20260722_134924_001_scenarios.json
  Metrics  : violations=8 (stranding:8)  tw_hit=0% (early=0, late=3)  interventions=0  repairs=0
  Solution : solutions/RmediumCfewTlarge_10_ROBU_20260722_134924_001.json
