=================================================================
  ROBU SOLVE START   (2026-07-23 17:34:38)
  Instance : RmediumCfewTlarge_3 — medium route, few customers, large windows, seed=3   run_id=RmediumCfewTlarge_3_ROBU_20260722_134924_022
  Route    : 124 stops  departure=8:00
  Model    : budgeted RO (Bertsimas-Sim, Gamma=27 of 124 legs, eps=0.01), C&CG cutting-plane, no recourse
=================================================================
  [it 1] master: |scen|=1  theta=79.091h  status=optimal  (310.0s)
  [it 1] adversary: 3 feasibility cut(s) [global, cd[0-15], cd[16-27]]  (1.1s)
  [it 2] master: |scen|=4  theta=86.142h  status=optimal  (1157.9s)
  [it 2] adversary: 3 feasibility cut(s) [cd[28-40], cd[41-53], cd[54-62]]  (5.0s)
  [it 3] master: |scen|=7  theta=97.304h  status=maxTimeLimit  (7204.8s)
  [it 3] adversary: 3 feasibility cut(s) [cd[38-49], cd[51-62], cd[63-77]]  (9.5s)
  [it 4] master: |scen|=10  theta=98.967h  status=maxTimeLimit  (7205.1s)
  [it 4] adversary: 3 feasibility cut(s) [cd[9-18], cd[78-94], cd[95-106]]  (10.5s)
  [it 5] master: |scen|=13  theta=112.529h  status=maxTimeLimit  (7206.9s)
  [it 5] adversary: 3 feasibility cut(s) [cd[48-59], cd[98-109], cd[110-120]]  (13.3s)
  [it 6] master: |scen|=16  theta=100.438h  status=maxTimeLimit  (7206.9s)
  [it 6] adversary: 3 feasibility cut(s) [cd[104-114], shift[19-40], shift[41-68]]  (8.7s)
  [it 7] master solve aborted with no incumbent (ValueError) after 7206.8s.
      Falling back to the iteration-6 plan (robu_converged=False).
  [!] Loop ended without adversary certification (max_iter=12 exhausted or master aborted); executing the last available plan (robu_converged=False).

  ROBU objective (worst-case arrival over U_Gamma) : 100.438 h   Gamma=27  scenarios=19  cuts: 18 feas / 0 opt   solve 37546.5s
  plan: 12 chg / 11 brk / 4 rst

  Executing ROBU plan AS IS (static, no recourse)...
  stop  75  t=65.615h soc=161kWh  cd=1.39 sd=1.39 h=1.39  -> y=0 brk=--- rst=---
  stop  76  t=65.840h soc=138kWh  cd=1.61 sd=1.61 h=1.61  -> y=0 brk=--- rst=---
  stop  77  t=66.138h soc=117kWh  cd=1.91 sd=1.91 h=1.91  -> y=0 brk=--- rst=---
  stop  78  t=66.382h soc=100kWh  cd=2.15 sd=2.15 h=2.15  -> y=1 brk=b45 rst=---
  stop  79  t=67.551h soc=297kWh  cd=0.21 sd=2.36 h=3.32  -> y=0 brk=--- rst=---
  stop  80  t=67.751h soc=277kWh  cd=0.41 sd=2.56 h=3.52  -> y=0 brk=--- rst=---
  stop  81  t=67.970h soc=258kWh  cd=0.62 sd=2.78 h=3.74  -> y=0 brk=--- rst=---
  stop  82  t=68.198h soc=236kWh  cd=0.85 sd=3.01 h=3.97  -> y=0 brk=--- rst=---
  stop  83  t=68.440h soc=214kWh  cd=1.09 sd=3.25 h=4.21  -> y=0 brk=--- rst=---
  stop  84  t=68.671h soc=192kWh  cd=1.33 sd=3.48 h=4.44  -> y=0 brk=--- rst=---
  stop  85  t=68.895h soc=170kWh  cd=1.55 sd=3.70 h=4.67  -> y=0 brk=--- rst=---
  stop  86  t=69.438h soc=166kWh  cd=1.59 sd=3.75 h=5.21  -> y=1 brk=b45 rst=---
  stop  87  t=70.803h soc=337kWh  cd=0.24 sd=3.98 h=6.58  -> y=0 brk=--- rst=---
  stop  88  t=71.037h soc=314kWh  cd=0.47 sd=4.22 h=6.81  -> y=0 brk=--- rst=---
  stop  89  t=71.293h soc=293kWh  cd=0.73 sd=4.47 h=7.07  -> y=0 brk=--- rst=---
  stop  90  t=71.525h soc=271kWh  cd=0.96 sd=4.71 h=7.30  -> y=0 brk=--- rst=---
  stop  91  t=71.752h soc=248kWh  cd=1.19 sd=4.93 h=7.53  -> y=0 brk=--- rst=---
  stop  92  t=71.998h soc=228kWh  cd=1.43 sd=5.18 h=7.77  -> y=0 brk=--- rst=---
  stop  93  t=72.225h soc=206kWh  cd=1.66 sd=5.41 h=8.00  -> y=0 brk=--- rst=---
  stop  94  t=72.446h soc=184kWh  cd=1.88 sd=5.63 h=8.22  -> y=0 brk=--- rst=---
  stop  95  t=72.678h soc=163kWh  cd=2.11 sd=5.86 h=8.45  -> y=1 brk=--- rst=r2
  stop  96  t=83.195h soc=343kWh  cd=0.38 sd=0.38 h=0.38  -> y=0 brk=--- rst=---
  stop  97  t=83.425h soc=322kWh  cd=0.61 sd=0.61 h=0.61  -> y=0 brk=--- rst=---
  stop  98  t=83.670h soc=302kWh  cd=0.85 sd=0.85 h=0.85  -> y=0 brk=--- rst=---
  stop  99  t=83.933h soc=281kWh  cd=1.12 sd=1.12 h=1.12  -> y=0 brk=--- rst=---
  stop 100  t=84.169h soc=259kWh  cd=1.35 sd=1.35 h=1.35  -> y=0 brk=--- rst=---
  stop 101  t=84.406h soc=237kWh  cd=1.59 sd=1.59 h=1.59  -> y=0 brk=--- rst=---
  stop 102  t=84.671h soc=217kWh  cd=1.86 sd=1.86 h=1.86  -> y=0 brk=--- rst=---
  stop 103  t=84.910h soc=197kWh  cd=2.09 sd=2.09 h=2.09  -> y=0 brk=--- rst=---
  stop 104  t=85.129h soc=175kWh  cd=2.31 sd=2.31 h=2.31  -> y=0 brk=b45 rst=---
  stop 105  t=86.326h soc=148kWh  cd=0.28 sd=2.59 h=3.51  -> y=0 brk=--- rst=---
  stop 106  t=86.633h soc=122kWh  cd=0.59 sd=2.90 h=3.82  -> y=0 brk=--- rst=---
  stop 107  t=86.911h soc=100kWh  cd=0.87 sd=3.18 h=4.10  -> y=1 brk=--- rst=---
  stop 108  t=87.956h soc=267kWh  cd=1.07 sd=3.38 h=5.14  -> y=0 brk=--- rst=---
  stop 109  t=88.174h soc=247kWh  cd=1.29 sd=3.60 h=5.36  -> y=0 brk=--- rst=---
  stop 110  t=88.390h soc=227kWh  cd=1.50 sd=3.82 h=5.57  -> y=0 brk=--- rst=---
  stop 111  t=88.687h soc=199kWh  cd=1.80 sd=4.11 h=5.87  -> y=0 brk=--- rst=---
  stop 112  t=89.000h soc=171kWh  cd=2.11 sd=4.43 h=6.18  -> y=0 brk=--- rst=---
  stop 113  t=89.255h soc=145kWh  cd=2.37 sd=4.68 h=6.44  -> y=0 brk=--- rst=---
  stop 114  t=89.579h soc=122kWh  cd=2.69 sd=5.01 h=6.76  -> y=0 brk=--- rst=---
  stop 115  t=89.855h soc=100kWh  cd=2.97 sd=5.28 h=7.04  -> y=1 brk=b45 rst=---
  stop 116  t=91.137h soc=294kWh  cd=0.23 sd=5.51 h=8.32  -> y=0 brk=--- rst=---
  stop 117  t=91.365h soc=271kWh  cd=0.46 sd=5.74 h=8.55  -> y=0 brk=--- rst=---
  stop 118  t=91.590h soc=249kWh  cd=0.68 sd=5.97 h=8.77  -> y=0 brk=--- rst=---
  stop 119  t=91.821h soc=225kWh  cd=0.92 sd=6.20 h=9.01  -> y=0 brk=--- rst=---
  stop 120  t=92.055h soc=201kWh  cd=1.15 sd=6.43 h=9.24  -> y=0 brk=--- rst=---
  stop 121  t=92.314h soc=178kWh  cd=1.41 sd=6.69 h=9.50  -> y=0 brk=--- rst=---
  stop 122  t=92.607h soc=153kWh  cd=1.70 sd=6.98 h=9.79  -> y=0 brk=--- rst=---
  stop 123  t=92.877h soc=128kWh  cd=1.97 sd=7.25 h=10.06  -> y=0 brk=--- rst=---
  Robust-plan failures (raw): 7 violation(s); 0 supervisor intervention(s)

=================================================================
  ROBU SIMULATION COMPLETE
  Arrival (absolute) : 93.131 h  (93:07)
  Travel duration    : 85.131 h
  Solve time         : 37546.5 s
  Wall-clock         : 37546.5 s
=================================================================
  Oracle   : loaded from cache  solutions/oracle_RmediumCfewTlarge_3.json
  Scenarios: logs/RmediumCfewTlarge_3_ROBU_20260722_134924_022_scenarios.json
  Metrics  : violations=7 (stranding:7)  tw_hit=0% (early=0, late=2)  interventions=0  repairs=0
  Solution : solutions/RmediumCfewTlarge_3_ROBU_20260722_134924_022.json
